date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:55	2055714/2055714	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f5e22-63613d18-1420f5;gz%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/Sustainable_Development_Goal-es-06.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/Sustainable_Development_Goal-es-06.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:56	233059/233059	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:55%20GMT	https://www.papeleradelsur.com.ar/en/product/triplexpack-en/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/product/triplexpack-en/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:56	64853/64853	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fd55-63613d18-1420fa;gz%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/FSC_pisando_imagen.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/FSC_pisando_imagen.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:56	24837/24837	---M-Z	200	added ('OK')	image/svg+xml	etag:%226105-63613d19-142108;gz%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/PEFC.svg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/PEFC.svg	(from https://www.papeleradelsur.com.ar/en/)
19:47:56	233197/233197	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:56%20GMT	https://www.papeleradelsur.com.ar/en/product/terraprint-en/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/product/terraprint-en/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:47:56	95235/95235	---M--	200	added ('OK')	image/jpeg	etag:%2217403-63613d17-1420f4;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/img-4.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/img-4.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:56	83947/83947	---M--	200	added ('OK')	image/jpeg	etag:%22147eb-63613d18-142106;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/09/img-s8.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/09/img-s8.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:57	69213/69213	---M--	200	added ('OK')	image/jpeg	etag:%2210e5d-63613cf6-141ffb;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/IMG_20220426_131505651.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/IMG_20220426_131505651.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:57	99739/99739	---M--	200	added ('OK')	image/jpeg	etag:%221859b-63613cf6-141ff8;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/IMG_05z59.jpg	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/IMG_05z59.jpg	(from https://www.papeleradelsur.com.ar/en/)
19:47:57	230873/230873	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:47:57%20GMT	https://www.papeleradelsur.com.ar/en/product/whitekraft-en/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/product/whitekraft-en/index.html	(from https://www.papeleradelsur.com.ar/en/)
